p,d,q,P,D,Q,s,AIC,RMSE
0,0,4,1,2,0,12,253.67752239963536,1.8063075864795817
0,0,4,1,2,1,12,212.2781647949686,1.3515287271884455
0,0,4,1,2,2,12,166.88171409500083,1.4078027242094362
0,0,4,1,2,3,12,117.74091612032593,1.3954807482333391
0,0,4,2,0,0,12,260.71843627241446,1.667151689536722
0,0,4,2,0,1,12,259.9901539545683,1.657567549124224
0,0,4,2,0,2,12,2114.6976607720662,7.955096264636034
0,0,4,2,0,3,12,217.55951902279966,1.8692730066738479
0,0,4,2,1,0,12,220.58348539705696,1.6577564464320949
0,0,4,2,1,1,12,220.89447505489719,1.6402624742236032
0,0,4,2,1,2,12,2149.603491878102,1.5834027717258858
0,0,4,2,1,3,12,158.8714330617262,1.524187136716317
0,0,4,2,2,0,12,188.78623904085617,1.5083619178687195
0,0,4,2,2,1,12,184.98657708959405,1.583500901651455
0,0,4,2,2,2,12,164.75975106495335,1.565912784887551
0,0,4,2,2,3,12,116.98216897312533,1.4438254530531702
0,0,4,3,0,0,12,224.61265732956426,1.6635110106653577
0,0,4,3,0,1,12,225.4656875865452,1.6773912660938224
0,0,4,3,0,2,12,2569.097440308864,2056.198667895108
0,0,4,3,0,3,12,208.13613647083523,1.5693559592098334
0,0,4,3,1,0,12,180.88719603299796,1.6326799183990799
0,0,4,3,1,1,12,181.10680452252848,1.6920039460483969
0,0,4,3,1,2,12,181.21856073575663,1.6199155099063167
0,0,4,3,1,3,12,155.89321153751902,1.3848595593606012
0,0,4,3,2,0,12,129.1207108544415,1.6726324530984362
0,0,4,3,2,1,12,131.27514937087687,1.7016083598669975
0,0,4,3,2,2,12,139.17145472272216,1.6299061547528537
0,0,4,3,2,3,12,116.00574847251951,1.6787850616747777
0,0,5,0,0,0,12,460.88255685935763,17.624268366994887
0,0,5,0,0,1,12,381.2688496628937,11.353217840842966
0,0,5,0,0,2,12,3090.0431151818043,297.17063034882267
0,0,5,0,0,3,12,270.1266979351111,8.869900308655618
0,0,5,0,1,0,12,281.9903725658032,1.6384978243696082
0,0,5,0,1,1,12,235.91164071842024,1.785101791866964
0,0,5,0,1,2,12,2173.992154994516,494.5510296502483
0,0,5,0,1,3,12,158.91419579075048,1.668376103306229
0,0,5,0,2,0,12,300.8679680531208,2.3178362337150618
0,0,5,0,2,1,12,212.21646556912643,1.499084524037295
0,0,5,0,2,2,12,160.2767891089572,1.3495224987797079
0,0,5,0,2,3,12,119.19825063535379,1.3060142003012707
0,0,5,1,0,0,12,306.0440457821091,1.6542686903249526
0,0,5,1,0,1,12,294.32583450921186,1.666494359288891
0,0,5,1,0,2,12,2416.237700268324,4.304158738920145
0,0,5,1,0,3,12,209.43203709258256,1.694947945957255
0,0,5,1,1,0,12,255.12000183831796,1.7257716938196068
0,0,5,1,1,1,12,238.96925497105678,1.754137306007465
0,0,5,1,1,2,12,2185.8241182608544,549.1985408087095
0,0,5,1,1,3,12,158.19748501122464,1.697669641903805
0,0,5,1,2,0,12,253.417805794208,1.9175216834717754
0,0,5,1,2,1,12,210.42668331251204,1.3620875589693937
0,0,5,1,2,2,12,162.29596294389657,1.34481030031285
0,0,5,1,2,3,12,117.20556513043546,1.3637740356843953
0,0,5,2,0,0,12,270.61505743616135,1.5420391273649399
0,0,5,2,0,1,12,259.065662367444,1.6670681556178661
0,0,5,2,0,2,12,2466.104384246631,8.24715603181238
0,0,5,2,0,3,12,209.2651418364375,1.7856766711594945
0,0,5,2,1,0,12,221.97180300721547,1.7874007825969587
0,0,5,2,1,1,12,222.58260359280186,1.7735311714882431
0,0,5,2,1,2,12,2043.2850991643636,1.6777593568079727
0,0,5,2,1,3,12,157.0932234666552,1.54685096560303
0,0,5,2,2,0,12,190.49952109891402,1.536535663377114
0,0,5,2,2,1,12,186.9300532816543,1.5798010782561713
0,0,5,2,2,2,12,164.57658315881463,1.3456625292807418
0,0,5,2,2,3,12,116.57503809916832,1.4363720668858284
0,0,5,3,0,0,12,225.1320237868205,1.7143750249557606
0,0,5,3,0,1,12,226.01918309085872,1.6855755928797005
0,0,5,3,0,2,12,2174.569355256771,7.363934948615153
0,0,5,3,0,3,12,207.8321069005123,1.5834551566327635
0,0,5,3,1,0,12,181.81401288708474,1.6771397335912603
0,0,5,3,1,1,12,182.02415087856878,1.8272923868370472
0,0,5,3,1,2,12,180.59866963262078,1.789440897362904
0,0,5,3,1,3,12,153.5539510795684,1.5444005197806137
0,0,5,3,2,0,12,131.0270901551932,1.6448724197728555
0,0,5,3,2,1,12,132.82380307355487,1.6373699246306692
0,0,5,3,2,2,12,132.70488567517495,1.704552114321614
0,0,5,3,2,3,12,120.54567250098825,1.5776493282006243
0,1,0,0,0,0,12,536.7666845106097,9.219771377819477
0,1,0,0,0,1,12,413.096701652226,4.063359970374045
0,1,0,0,0,2,12,1887.934539852043,4.477039421157557
0,1,0,0,0,3,12,274.95447655355673,2.860932327642537
0,1,0,0,1,0,12,318.8213637143618,1.172137964313524
0,1,0,0,1,1,12,261.85302774153286,1.6809919389689694
0,1,0,0,1,2,12,2480.8688195968607,4.540492440885255
0,1,0,0,1,3,12,181.03917445663905,2.128469938592645
0,1,0,0,2,0,12,340.2845328934801,3.453956668166723
0,1,0,0,2,1,12,248.20290313965398,1.804948462332966
0,1,0,0,2,2,12,185.2659984687309,1.2964337797938454
0,1,0,0,2,3,12,140.62597484938044,1.3623672237568198
0,1,0,1,0,0,12,323.8568458269972,1.1920052130631968
0,1,0,1,0,1,12,311.2512362299226,1.782486314282853
0,1,0,1,0,2,12,2384.0536594927653,66.90508991516646
0,1,0,1,0,3,12,231.6979426927422,2.0370370100695014
0,1,0,1,1,0,12,267.2631712801056,1.4666497528215539
0,1,0,1,1,1,12,264.1755970796818,1.8215853463745215
0,1,0,1,1,2,12,2215.8116948788947,7.058308015796715
0,1,0,1,1,3,12,182.41716851932165,2.0701403446996856
0,1,0,1,2,0,12,268.6501081206395,1.678204622078965
0,1,0,1,2,1,12,246.29244932700794,1.116872437235583
0,1,0,1,2,2,12,194.7735522645884,1.0673523129692388
0,1,0,1,2,3,12,140.81651106870876,1.3984789143065874
0,1,0,2,0,0,12,268.57452952753044,1.566003396669607
0,1,0,2,0,1,12,268.6301604358876,1.885953253063884
0,1,0,2,0,2,12,2304.234544869906,26.641257113037206
0,1,0,2,0,3,12,231.7842694823208,2.0864915317444983
0,1,0,2,1,0,12,228.01291994226193,1.6427222106820427
0,1,0,2,1,1,12,229.41686674759396,1.5621926804565718
0,1,0,2,1,2,12,2324.83698089923,6.765199464730816
0,1,0,2,1,3,12,179.68911558262556,2.080210118518132
0,1,0,2,2,0,12,201.9974457618374,1.60693796219095
0,1,0,2,2,1,12,197.78933973429233,1.7690923108025767
0,1,0,2,2,2,12,196.7251953184532,1.0659868573666682
0,1,0,2,2,3,12,137.05448263774315,2.478838078862842
0,1,0,3,0,0,12,229.61637441943878,1.7274507648884136
0,1,0,3,0,1,12,231.02678271506906,1.6374831520955435
0,1,0,3,0,2,12,2048.4560385715386,10.670616068742621
0,1,0,3,0,3,12,227.16537077159276,1.5140358761458113
0,1,0,3,1,0,12,187.69027094762652,1.488639246567555
0,1,0,3,1,1,12,185.98487170983515,2.3645925696043544
0,1,0,3,1,2,12,2127.082553576109,4.900873356463707
0,1,0,3,1,3,12,183.6126131803471,2.4910462369885455
0,1,0,3,2,0,12,136.32504690905878,2.6753455507828097
0,1,0,3,2,1,12,137.79574871164564,2.6652824614464876
0,1,0,3,2,2,12,148.4606233590139,2.7574792187170423
0,1,0,3,2,3,12,138.96554893799055,2.478201684477907
0,1,1,0,0,0,12,469.7774768474132,8.364060343272731
0,1,1,0,0,1,12,384.97597892894737,5.239103038850419
0,1,1,0,0,2,12,2370.356193679932,4.345634276289923
0,1,1,0,0,3,12,266.17857822775056,2.6122703758485173
0,1,1,0,1,0,12,309.30742265595,1.1444165269371869
0,1,1,0,1,1,12,258.5322847246616,1.5350094703260466
0,1,1,0,1,2,12,2432.774962330611,3.2463493753817203
0,1,1,0,1,3,12,179.66788120496537,1.8130383251880706
0,1,1,0,2,0,12,318.5088971925337,2.3179317702421254
0,1,1,0,2,1,12,233.94583441065393,1.6083069767804041
0,1,1,0,2,2,12,172.1055922298163,1.4575788837696573
0,1,1,0,2,3,12,124.80139113225094,1.4173807160457497
0,1,1,1,0,0,12,318.9518086982219,1.146606105498038
0,1,1,1,0,1,12,310.50224605220956,1.5666599572339421
0,1,1,1,0,2,12,2268.4818963402445,48.08174923486455
0,1,1,1,0,3,12,227.67981837658502,1.5826581499572268
0,1,1,1,1,0,12,266.07705587507274,1.3700817521764315
0,1,1,1,1,1,12,260.9787556834651,1.5363571500520241
0,1,1,1,1,2,12,2429.9818534100173,5.145331951100643
0,1,1,1,1,3,12,181.29488465124473,1.766589177295065
0,1,1,1,2,0,12,263.05409420296314,1.4481225053394955
0,1,1,1,2,1,12,234.10497195367063,1.3859962558725665
0,1,1,1,2,2,12,183.27384645238678,1.4829390730703018
0,1,1,1,2,3,12,123.54856479201125,1.447235132958448
0,1,1,2,0,0,12,267.7957206235689,1.420200756477682
0,1,1,2,0,1,12,276.4317975479324,1.5877689656373457
0,1,1,2,0,2,12,2173.1772629909724,18.674346117947525
0,1,1,2,0,3,12,229.18643151447876,1.5183047695186267
0,1,1,2,1,0,12,228.0956302730308,1.5367127800535716
0,1,1,2,1,1,12,228.50109963330343,1.43927391939695
0,1,1,2,1,2,12,2459.7671502517333,5.2046526248321205
0,1,1,2,1,3,12,173.60045206386098,1.4550026394439382
0,1,1,2,2,0,12,190.49539722639514,1.316815176385401
0,1,1,2,2,1,12,184.83663991239604,1.6391563793797912
0,1,1,2,2,2,12,180.0058674555298,1.6785135968987404
0,1,1,2,2,3,12,123.80578780738075,1.4792963857202959
0,1,1,3,0,0,12,229.80809839170092,1.5990723996520395
0,1,1,3,0,1,12,238.7979951130729,1.6012023764152459
0,1,1,3,0,2,12,1910.784716656652,11.401418084622392
0,1,1,3,0,3,12,224.175005427299,1.3516524597167288
0,1,1,3,1,0,12,185.5004118242767,1.259973549219682
0,1,1,3,1,1,12,182.68549570173494,1.4252152882208173
0,1,1,3,1,2,12,2034.6430130919152,5.027949400011427
0,1,1,3,1,3,12,177.2810202300261,1.4543278524667447
0,1,1,3,2,0,12,130.48835523458155,1.845915069388867
0,1,1,3,2,1,12,130.8085842509282,1.851020117196218
0,1,1,3,2,2,12,132.7994799100394,1.839621888354719
0,1,1,3,2,3,12,125.80648408309004,1.4794346880246385
0,1,2,0,0,0,12,452.0587278554401,8.392883674573774
0,1,2,0,0,1,12,375.36338965845744,5.560903917847677
0,1,2,0,0,2,12,3196.3449527793105,3.0842312894648423
0,1,2,0,0,3,12,263.40408925595733,2.7761694630010396
0,1,2,0,1,0,12,289.87870460911506,1.5202341317882462
0,1,2,0,1,1,12,244.18775385273722,1.6210439247347084
0,1,2,0,1,2,12,2082.6393002890063,2.9710830529564514
0,1,2,0,1,3,12,169.06963351821298,1.576811431733932
0,1,2,0,2,0,12,308.63166815538904,2.374774971621182
0,1,2,0,2,1,12,223.6583000610706,1.6330428748892287
0,1,2,0,2,2,12,165.99138046701856,1.4104725341291453
0,1,2,0,2,3,12,123.34876449830887,1.4394492197251327
0,1,2,1,0,0,12,303.88826564888825,1.5082796793989182
0,1,2,1,0,1,12,288.6598814706082,1.6215595745878124
0,1,2,1,0,2,12,3124.6868224385335,49.36456367353161
0,1,2,1,0,3,12,217.5977480276469,1.4968348093630341
0,1,2,1,1,0,12,253.97292782739822,1.629861078636822
0,1,2,1,1,1,12,246.917694940861,1.6373434978465053
0,1,2,1,1,2,12,2079.479500683265,4.53561526220472
0,1,2,1,1,3,12,169.09838446451116,1.6939003629598748
0,1,2,1,2,0,12,250.70198621225433,1.83379710083857
0,1,2,1,2,1,12,222.26793341626336,1.3283146963035415
0,1,2,1,2,2,12,174.55759621453527,1.3686575825240221
0,1,2,1,2,3,12,123.00547833324303,1.4359937748714435
0,1,2,2,0,0,12,255.93570806914374,1.6332558561490027
0,1,2,2,0,1,12,257.89318182979434,1.6396359700392045
0,1,2,2,0,2,12,2994.4790890845943,20.557567086925637
0,1,2,2,0,3,12,219.361690228573,1.5658505217951073
0,1,2,2,1,0,12,221.2512219843743,1.6364137348168906
0,1,2,2,1,1,12,224.2812875512225,1.5955811465492094
0,1,2,2,1,2,12,2108.893029333614,5.312346335550654
0,1,2,2,1,3,12,167.62500691431893,1.6786784269861221
0,1,2,2,2,0,12,189.44873486314245,1.495872948721592
0,1,2,2,2,1,12,185.15341000537504,1.6069094719996888
0,1,2,2,2,2,12,176.67962200663797,1.6010651201794572
0,1,2,2,2,3,12,121.00570038305248,1.483443840886626
0,1,2,3,0,0,12,224.3066096591368,1.6140173724695972
0,1,2,3,0,1,12,225.35144060847446,1.61684205871681
0,1,2,3,0,2,12,2352.911165802674,9.949998221364176
0,1,2,3,0,3,12,217.57947991792895,1.638110733096864
0,1,2,3,1,0,12,182.76329305560972,1.5291040442701735
0,1,2,3,1,1,12,181.8015645448375,1.6164865322343944
0,1,2,3,1,2,12,2132.446738250111,5.839631836059441
0,1,2,3,1,3,12,169.6237026319415,1.437877856385858
0,1,2,3,2,0,12,129.28648791477974,1.786684055784727
0,1,2,3,2,1,12,130.3958238468676,1.7903307290788228
0,1,2,3,2,2,12,137.25478395944344,1.6426895362856055
0,1,2,3,2,3,12,119.99933035312566,1.7038456889679134
0,1,3,0,0,0,12,433.8869906806135,10.58988059724851
0,1,3,0,0,1,12,360.2656169983111,8.59931975986938
0,1,3,0,0,2,12,2366.6866508907365,5.222492819837361
0,1,3,0,0,3,12,256.33905595465006,3.526968079251493
0,1,3,0,1,0,12,288.76499982540247,1.5213240237267298
0,1,3,0,1,1,12,242.0171295102167,1.6325758421001602
0,1,3,0,1,2,12,2298.8792224637486,2.8769064193315286
0,1,3,0,1,3,12,166.0323064683415,1.505055668033949
0,1,3,0,2,0,12,306.4421879603014,2.37295075937433
0,1,3,0,2,1,12,217.36471913846182,1.626010189405336
0,1,3,0,2,2,12,164.52653525116617,1.4201238485120173
0,1,3,0,2,3,12,122.716056062815,1.451252656018555
0,1,3,1,0,0,12,305.88489243211586,1.5078062620344868
0,1,3,1,0,1,12,288.18099615806096,1.6324564897214986
0,1,3,1,0,2,12,2296.092380548907,65.92933143247977
0,1,3,1,0,3,12,214.96115023784517,1.5010915437042984
0,1,3,1,1,0,12,255.58040525726878,1.6260424145955827
0,1,3,1,1,1,12,244.7190753088622,1.6377227163192822
0,1,3,1,1,2,12,2296.095151154136,4.361632556364104
0,1,3,1,1,3,12,167.74339319727136,1.5308703852513847
0,1,3,1,2,0,12,252.51932903385503,1.8295199748537154
